sample_barcode,cg13601799,cg08047457,cg19531713,patient_id,brca1_promoter_mean
TCGA-AB-2924-03,0.02256,0.03535,0.04731,TCGA-AB-2924,0.03507333333333334
TCGA-AB-2925-03,0.01701,0.0281,0.0488,TCGA-AB-2925,0.03130333333333333
TCGA-AB-2926-03,0.02429,0.02798,0.05882,TCGA-AB-2926,0.03703
TCGA-AB-2927-03,0.07871,0.03562,0.06973,TCGA-AB-2927,0.061353333333333336
TCGA-AB-2928-03,0.01964,0.02749,0.05508,TCGA-AB-2928,0.034069999999999996
TCGA-AB-2929-03,0.01293,0.02893,0.05296,TCGA-AB-2929,0.031606666666666665
TCGA-AB-2930-03,0.1843,0.02932,0.04679,TCGA-AB-2930,0.08680333333333333
TCGA-AB-2931-03,0.01688,0.02641,0.06531,TCGA-AB-2931,0.0362
TCGA-AB-2932-03,0.02379,0.03019,0.05863,TCGA-AB-2932,0.03753666666666667
TCGA-AB-2933-03,0.03585,0.027,0.05724,TCGA-AB-2933,0.04003
TCGA-AB-2934-03,0.01653,0.03611,0.04739,TCGA-AB-2934,0.033343333333333336
TCGA-AB-2935-03,0.188,0.02824,0.06131,TCGA-AB-2935,0.09251666666666665
TCGA-AB-2936-03,0.02337,0.173,0.06161,TCGA-AB-2936,0.08599333333333332
TCGA-AB-2937-03,0.04388,0.02649,0.0479,TCGA-AB-2937,0.03942333333333333
TCGA-AB-2938-03,0.02088,0.02479,0.03475,TCGA-AB-2938,0.02680666666666667
TCGA-AB-2939-03,0.06128,0.02729,0.05496,TCGA-AB-2939,0.04784333333333333
TCGA-AB-2940-03,0.3779,0.02689,0.03484,TCGA-AB-2940,0.14654333333333333
TCGA-AB-2941-03,0.01475,0.02091,0.0422,TCGA-AB-2941,0.02595333333333333
TCGA-AB-2942-03,0.01632,0.02454,0.06139,TCGA-AB-2942,0.034083333333333334
TCGA-AB-2943-03,0.02378,0.03271,0.03554,TCGA-AB-2943,0.030676666666666668
TCGA-AB-2944-03,0.1841,0.02338,0.05201,TCGA-AB-2944,0.08649666666666667
TCGA-AB-2945-03,0.02141,0.02838,0.05125,TCGA-AB-2945,0.033679999999999995
TCGA-AB-2946-03,0.0251,0.03256,0.05831,TCGA-AB-2946,0.038656666666666666
TCGA-AB-2947-03,0.01547,0.02242,0.04988,TCGA-AB-2947,0.029256666666666667
TCGA-AB-2948-03,0.4491,0.02841,0.04204,TCGA-AB-2948,0.17318333333333333
TCGA-AB-2949-03,0.1936,0.02343,0.05714,TCGA-AB-2949,0.09139000000000001
TCGA-AB-2950-03,0.02046,0.0341,0.04826,TCGA-AB-2950,0.03427333333333333
TCGA-AB-2952-03,0.2211,0.02781,0.05021,TCGA-AB-2952,0.09970666666666667
TCGA-AB-2954-03,0.017,0.02337,0.05446,TCGA-AB-2954,0.03161
TCGA-AB-2955-03,0.1552,0.02514,0.06611,TCGA-AB-2955,0.08215
TCGA-AB-2956-03,0.02788,0.02729,0.04745,TCGA-AB-2956,0.03420666666666666
TCGA-AB-2957-03,0.02135,0.02489,0.05674,TCGA-AB-2957,0.034326666666666665
TCGA-AB-2959-03,0.1166,0.02652,0.04396,TCGA-AB-2959,0.06236
TCGA-AB-2963-03,0.02139,0.02336,0.06318,TCGA-AB-2963,0.035976666666666664
TCGA-AB-2964-03,0.0172,0.02752,0.04781,TCGA-AB-2964,0.030843333333333334
TCGA-AB-2965-03,0.02775,0.03737,0.06004,TCGA-AB-2965,0.04172
TCGA-AB-2966-03,0.1362,0.03485,0.04219,TCGA-AB-2966,0.07107999999999999
TCGA-AB-2967-03,0.01909,0.02936,0.04156,TCGA-AB-2967,0.030003333333333337
TCGA-AB-2968-03,0.01862,0.03383,0.04069,TCGA-AB-2968,0.031046666666666667
TCGA-AB-2969-03,0.01964,0.02254,0.04924,TCGA-AB-2969,0.030473333333333335
TCGA-AB-2970-03,0.1617,0.02549,0.05572,TCGA-AB-2970,0.08097
TCGA-AB-2971-03,0.01578,0.01735,0.04361,TCGA-AB-2971,0.025580000000000002
TCGA-AB-2972-03,0.04519,0.02601,0.04291,TCGA-AB-2972,0.03803666666666666
TCGA-AB-2973-03,0.02318,0.02455,0.05133,TCGA-AB-2973,0.03302
TCGA-AB-2974-03,0.01955,0.02623,0.04632,TCGA-AB-2974,0.0307
TCGA-AB-2975-03,0.02361,0.02662,0.05208,TCGA-AB-2975,0.03410333333333333
TCGA-AB-2976-03,0.02429,0.0343,0.05315,TCGA-AB-2976,0.03724666666666667
TCGA-AB-2977-03,0.03252,0.03958,0.05104,TCGA-AB-2977,0.04104666666666667
TCGA-AB-2978-03,0.01824,0.02316,0.05461,TCGA-AB-2978,0.032003333333333335
TCGA-AB-2979-03,0.03884,0.0222,0.02919,TCGA-AB-2979,0.030076666666666668
TCGA-AB-2980-03,0.02546,0.02864,0.0765,TCGA-AB-2980,0.043533333333333334
TCGA-AB-2981-03,0.02026,0.02897,0.04075,TCGA-AB-2981,0.029993333333333334
TCGA-AB-2982-03,0.01757,0.02941,0.04301,TCGA-AB-2982,0.02999666666666666
TCGA-AB-2983-03,0.02969,0.03299,0.05362,TCGA-AB-2983,0.038766666666666665
TCGA-AB-2984-03,0.03544,0.03227,0.05946,TCGA-AB-2984,0.042390000000000004
TCGA-AB-2985-03,0.01831,0.02143,0.04999,TCGA-AB-2985,0.029910000000000003
TCGA-AB-2986-03,0.02949,0.02359,0.04734,TCGA-AB-2986,0.033473333333333334
TCGA-AB-2987-03,0.01278,0.02333,0.04436,TCGA-AB-2987,0.026823333333333334
TCGA-AB-2988-03,0.02179,0.02508,0.04374,TCGA-AB-2988,0.030203333333333332
TCGA-AB-2989-03,0.02932,0.02344,0.03131,TCGA-AB-2989,0.028023333333333334
TCGA-AB-2990-03,0.032,0.02867,0.05848,TCGA-AB-2990,0.03971666666666667
TCGA-AB-2991-03,0.02212,0.03379,0.05291,TCGA-AB-2991,0.03627333333333333
TCGA-AB-2992-03,0.04054,0.03555,0.06744,TCGA-AB-2992,0.04784333333333333
TCGA-AB-2993-03,0.0158,0.0279,0.0512,TCGA-AB-2993,0.03163333333333334
TCGA-AB-2995-03,0.03006,0.02864,0.04993,TCGA-AB-2995,0.03621
TCGA-AB-2996-03,0.01861,0.02648,0.06524,TCGA-AB-2996,0.03677666666666667
TCGA-AB-2997-03,0.02161,0.02534,0.04776,TCGA-AB-2997,0.03157
TCGA-AB-2998-03,0.01713,0.02517,0.04635,TCGA-AB-2998,0.029550000000000003
TCGA-AB-2999-03,0.02132,0.03472,0.0419,TCGA-AB-2999,0.032646666666666664
TCGA-AB-3000-03,0.2487,0.02514,0.04801,TCGA-AB-3000,0.10728333333333334
TCGA-AB-3001-03,0.04589,0.03125,0.05058,TCGA-AB-3001,0.04257333333333333
TCGA-AB-3002-03,0.08967,0.1368,0.0808,TCGA-AB-3002,0.10242333333333332
TCGA-AB-3005-03,0.01484,0.02684,0.0488,TCGA-AB-3005,0.030160000000000003
TCGA-AB-3006-03,0.01773,0.03466,0.04525,TCGA-AB-3006,0.03254666666666667
TCGA-AB-3007-03,0.01947,0.02053,0.05236,TCGA-AB-3007,0.030786666666666667
TCGA-AB-3008-03,0.1837,0.02546,0.05119,TCGA-AB-3008,0.08678333333333334
TCGA-AB-3009-03,0.9096,0.02762,0.05256,TCGA-AB-3009,0.32992666666666665
TCGA-AB-3011-03,0.02834,0.02747,0.07356,TCGA-AB-3011,0.043123333333333326
TCGA-AB-3012-03,0.02634,0.03212,0.04436,TCGA-AB-3012,0.03427333333333333
TCGA-KL-8323-01,0.03837,0.1057,0.08163,TCGA-KL-8323,0.07523333333333333
TCGA-KL-8324-01,0.02981,0.1759,0.08715,TCGA-KL-8324,0.09762
TCGA-KL-8325-01,0.02958,0.4439,0.09834,TCGA-KL-8325,0.19060666666666667
TCGA-KL-8326-01,0.03679,0.3941,0.0989,TCGA-KL-8326,0.17659666666666665
TCGA-KL-8327-01,0.02431,0.08706,0.1074,TCGA-KL-8327,0.07292333333333333
TCGA-KL-8328-01,0.1151,0.6383,0.104,TCGA-KL-8328,0.2858
TCGA-KL-8329-01,0.02567,0.4324,0.09847,TCGA-KL-8329,0.18551333333333334
TCGA-KL-8330-01,0.04887,0.4836,0.08785,TCGA-KL-8330,0.20677333333333334
TCGA-KL-8331-01,0.02327,0.462,0.09527,TCGA-KL-8331,0.19351333333333334
TCGA-KL-8332-01,0.02691,0.6639,0.09174,TCGA-KL-8332,0.26085
TCGA-KL-8333-01,0.02611,0.4371,0.1299,TCGA-KL-8333,0.19770333333333334
TCGA-KL-8334-01,0.09217,0.4536,0.09296,TCGA-KL-8334,0.21291000000000002
TCGA-KL-8335-01,0.01985,0.1744,0.0964,TCGA-KL-8335,0.09688333333333334
TCGA-KL-8336-01,0.04102,0.4418,0.08624,TCGA-KL-8336,0.18968666666666667
TCGA-KL-8337-01,0.04175,0.7468,0.08566,TCGA-KL-8337,0.2914033333333333
TCGA-KL-8338-01,0.05234,0.3127,0.09444,TCGA-KL-8338,0.15316
TCGA-KL-8339-01,0.1983,0.0734,0.09471,TCGA-KL-8339,0.12213666666666667
TCGA-KL-8340-01,0.02465,0.04646,0.1178,TCGA-KL-8340,0.06297000000000001
TCGA-KL-8341-01,0.01857,0.2045,0.0946,TCGA-KL-8341,0.10589
TCGA-KL-8342-01,0.01589,0.0435,0.09842,TCGA-KL-8342,0.052603333333333335
TCGA-KL-8343-01,0.02437,0.6264,0.0703,TCGA-KL-8343,0.24035666666666666
TCGA-KL-8344-01,0.0227,0.1081,0.1004,TCGA-KL-8344,0.07706666666666667
TCGA-KL-8345-01,0.01956,0.1586,0.1149,TCGA-KL-8345,0.09768666666666666
TCGA-KL-8346-01,0.02521,0.09349,0.09237,TCGA-KL-8346,0.07035666666666666
TCGA-KM-8438-01,0.02086,0.4906,0.08808,TCGA-KM-8438,0.1998466666666667
TCGA-KM-8439-01,0.02367,0.6025,0.08908,TCGA-KM-8439,0.2384166666666667
TCGA-KM-8440-01,0.01984,0.4181,0.1001,TCGA-KM-8440,0.17934666666666668
TCGA-KM-8441-01,0.01949,0.5646,0.08423,TCGA-KM-8441,0.22277333333333335
TCGA-KM-8442-01,0.01944,0.4745,0.08956,TCGA-KM-8442,0.1945
TCGA-KM-8443-01,0.2429,0.7897,0.0784,TCGA-KM-8443,0.37033333333333335
TCGA-KM-8476-01,0.0306,0.04486,0.5248,TCGA-KM-8476,0.20008666666666666
TCGA-KM-8477-01,0.07708,0.5159,0.09594,TCGA-KM-8477,0.22964000000000004
TCGA-KM-8639-01,0.04681,0.5042,0.08038,TCGA-KM-8639,0.21046333333333334
TCGA-KN-8418-01,0.0276,0.2645,0.1073,TCGA-KN-8418,0.13313333333333335
TCGA-KN-8419-01,0.02663,0.07138,0.082,TCGA-KN-8419,0.06000333333333333
TCGA-KN-8421-01,0.02099,0.1896,0.1093,TCGA-KN-8421,0.10663
TCGA-KN-8422-01,0.01726,0.04844,0.09936,TCGA-KN-8422,0.05501999999999999
TCGA-KN-8423-01,0.02365,0.09119,0.1019,TCGA-KN-8423,0.07224666666666667
TCGA-KN-8424-01,0.11,0.04694,0.09808,TCGA-KN-8424,0.08500666666666667
TCGA-KN-8425-01,0.02252,0.6,0.08045,TCGA-KN-8425,0.23432333333333333
TCGA-KN-8426-01,0.02525,0.3727,0.1005,TCGA-KN-8426,0.16615
TCGA-KN-8427-01,0.02049,0.566,0.1004,TCGA-KN-8427,0.22896333333333332
TCGA-KN-8428-01,0.03456,0.5609,0.09821,TCGA-KN-8428,0.23122333333333334
TCGA-KN-8429-01,0.1157,0.1226,0.1002,TCGA-KN-8429,0.11283333333333334
TCGA-KN-8431-01,0.02697,0.04113,0.07261,TCGA-KN-8431,0.04690333333333333
TCGA-KN-8432-01,0.02389,0.03507,0.1036,TCGA-KN-8432,0.05418666666666666
TCGA-KN-8433-01,0.03782,0.5876,0.1091,TCGA-KN-8433,0.24483999999999997
TCGA-KN-8434-01,0.02101,0.4428,0.1182,TCGA-KN-8434,0.19400333333333333
TCGA-KN-8435-01,0.4034,0.5133,0.0859,TCGA-KN-8435,0.3342
TCGA-KN-8436-01,0.02674,0.8001,0.08912,TCGA-KN-8436,0.30532
TCGA-KN-8437-01,0.02373,0.6315,0.1191,TCGA-KN-8437,0.25811
TCGA-KO-8403-01,0.01744,0.1035,0.123,TCGA-KO-8403,0.08131333333333333
TCGA-KO-8404-01,0.03685,0.5647,0.119,TCGA-KO-8404,0.24018333333333333
TCGA-KO-8405-01,0.02011,0.04715,0.07815,TCGA-KO-8405,0.04846999999999999
TCGA-KO-8406-01,0.05206,0.761,0.1031,TCGA-KO-8406,0.30538666666666664
TCGA-KO-8407-01,0.03355,0.7006,0.07855,TCGA-KO-8407,0.2709
TCGA-KO-8408-01,0.5809,0.1666,0.09742,TCGA-KO-8408,0.28163999999999995
TCGA-KO-8409-01,0.02171,0.6722,0.08811,TCGA-KO-8409,0.26067333333333337
TCGA-KO-8410-01,0.03028,0.3828,0.09205,TCGA-KO-8410,0.16837666666666665
TCGA-KO-8411-01,0.1009,0.4667,0.09204,TCGA-KO-8411,0.21988
TCGA-KO-8413-01,0.01862,0.44,0.09921,TCGA-KO-8413,0.18594333333333335
TCGA-KO-8414-01,0.05464,0.7286,0.09865,TCGA-KO-8414,0.29396333333333335
TCGA-KO-8415-01,0.01804,0.6514,0.1071,TCGA-KO-8415,0.25884666666666667
TCGA-KO-8416-01,0.2963,0.7283,0.08782,TCGA-KO-8416,0.3708066666666667
TCGA-KO-8417-01,0.02432,0.05746,0.1179,TCGA-KO-8417,0.06656
TCGA-2E-A9G8-01,0.02603,0.2315,0.05777,TCGA-2E-A9G8,0.10510000000000001
TCGA-4E-A92E-01,0.04375,0.4679,0.04684,TCGA-4E-A92E,0.18616333333333332
TCGA-5B-A90C-01,0.05716,0.7027,0.0504,TCGA-5B-A90C,0.27008666666666664
TCGA-5S-A9Q8-01,0.02349,0.7334,0.04948,TCGA-5S-A9Q8,0.26879000000000003
TCGA-A5-A0G1-01,0.04076,0.02284,0.05619,TCGA-A5-A0G1,0.03992999999999999
TCGA-A5-A0GG-01,0.02597,0.3686,0.07772,TCGA-A5-A0GG,0.15743
TCGA-A5-A0GQ-01,0.03325,0.3743,0.07935,TCGA-A5-A0GQ,0.1623
TCGA-A5-A0GR-01,0.06682,0.5649,0.07491,TCGA-A5-A0GR,0.23554333333333333
TCGA-A5-A0VO-01,0.01937,0.6043,0.0553,TCGA-A5-A0VO,0.22632333333333332
TCGA-A5-A1OF-01,0.0253,0.5772,0.08488,TCGA-A5-A1OF,0.22912666666666667
TCGA-A5-A1OG-01,0.03486,0.196,0.08755,TCGA-A5-A1OG,0.10613666666666667
TCGA-A5-A1OH-01,0.02061,0.5428,0.1001,TCGA-A5-A1OH,0.22116999999999998
TCGA-A5-A1OJ-01,0.0348,0.5067,0.1107,TCGA-A5-A1OJ,0.21740000000000004
TCGA-A5-A1OK-01,0.01927,0.3466,0.04043,TCGA-A5-A1OK,0.13543333333333335
TCGA-A5-A2K2-01,0.0181,0.5874,0.1122,TCGA-A5-A2K2,0.23923333333333333
TCGA-A5-A2K3-01,0.03478,0.4868,0.07407,TCGA-A5-A2K3,0.19855
TCGA-A5-A2K4-01,0.02579,0.5495,0.1143,TCGA-A5-A2K4,0.2298633333333333
TCGA-A5-A2K5-01,0.02151,0.668,0.09242,TCGA-A5-A2K5,0.26064333333333334
TCGA-A5-A2K7-01,0.02097,0.7318,0.08565,TCGA-A5-A2K7,0.27947333333333335
TCGA-A5-A3LO-01,0.02818,0.4768,0.08218,TCGA-A5-A3LO,0.19572
TCGA-A5-A3LP-01,0.05313,0.6161,0.0843,TCGA-A5-A3LP,0.25117666666666666
TCGA-A5-A7WJ-01,0.02757,0.7902,0.04824,TCGA-A5-A7WJ,0.28867
TCGA-A5-A7WK-01,0.02236,0.4267,0.04463,TCGA-A5-A7WK,0.16456333333333334
TCGA-A5-AB3J-01,0.0271,0.4318,0.04278,TCGA-A5-AB3J,0.16722666666666666
TCGA-AJ-A23M-01,0.02346,0.4032,0.06438,TCGA-AJ-A23M,0.16368
TCGA-AJ-A23N-01,0.03074,0.399,0.08373,TCGA-AJ-A23N,0.17115666666666665
TCGA-AJ-A23O-01,0.0232,0.3177,0.05002,TCGA-AJ-A23O,0.13030666666666665
TCGA-AJ-A2QK-01,0.01927,0.4876,0.09967,TCGA-AJ-A2QK,0.20218
TCGA-AJ-A2QL-01,0.02544,0.5941,0.1008,TCGA-AJ-A2QL,0.24011333333333332
TCGA-AJ-A2QL-11,0.06025,0.2252,0.116,TCGA-AJ-A2QL,0.13381666666666667
TCGA-AJ-A2QM-01,0.01473,0.7416,0.09162,TCGA-AJ-A2QM,0.28265
TCGA-AJ-A2QN-01,0.02571,0.5908,0.08745,TCGA-AJ-A2QN,0.23465333333333335
TCGA-AJ-A2QO-01,0.01874,0.739,0.1119,TCGA-AJ-A2QO,0.28987999999999997
TCGA-AJ-A3BD-01,0.02217,0.7552,0.0869,TCGA-AJ-A3BD,0.28809
TCGA-AJ-A3BF-01,0.02007,0.6206,0.07197,TCGA-AJ-A3BF,0.23754666666666668
TCGA-AJ-A3BG-01,0.9089,0.7741,0.09408,TCGA-AJ-A3BG,0.59236
TCGA-AJ-A3BH-01,0.02337,0.2211,0.07862,TCGA-AJ-A3BH,0.10769666666666666
TCGA-AJ-A3BI-01,0.02259,0.5958,0.06679,TCGA-AJ-A3BI,0.22839333333333334
TCGA-AJ-A3BK-01,0.02968,0.6859,0.07644,TCGA-AJ-A3BK,0.26400666666666667
TCGA-AJ-A3EJ-01,0.02286,0.492,0.09319,TCGA-AJ-A3EJ,0.20268333333333333
TCGA-AJ-A3EK-01,0.04264,0.6408,0.1071,TCGA-AJ-A3EK,0.2635133333333333
TCGA-AJ-A3EL-01,0.02053,0.5988,0.07293,TCGA-AJ-A3EL,0.23075333333333337
TCGA-AJ-A3EM-01,0.01581,0.5345,0.0624,TCGA-AJ-A3EM,0.20423666666666665
TCGA-AJ-A3I9-01,0.03342,0.5187,0.09127,TCGA-AJ-A3I9,0.21446333333333334
TCGA-AJ-A3IA-01,0.01658,0.04477,0.06874,TCGA-AJ-A3IA,0.04336333333333333
TCGA-AJ-A3NC-01,0.0276,0.4805,0.07822,TCGA-AJ-A3NC,0.19543999999999997
TCGA-AJ-A3NC-11,0.02521,0.103,0.1033,TCGA-AJ-A3NC,0.07717
TCGA-AJ-A3NE-01,0.02569,0.04817,0.09042,TCGA-AJ-A3NE,0.054759999999999996
TCGA-AJ-A3NE-11,0.02666,0.282,0.08226,TCGA-AJ-A3NE,0.13030666666666665
TCGA-AJ-A3NF-01,0.02879,0.03882,0.1049,TCGA-AJ-A3NF,0.05750333333333333
TCGA-AJ-A3NG-01,0.02926,0.7205,0.07534,TCGA-AJ-A3NG,0.2750333333333333
TCGA-AJ-A3NH-01,0.03135,0.5604,0.0778,TCGA-AJ-A3NH,0.22318333333333332
TCGA-AJ-A3NH-11,0.06612,0.2608,0.07917,TCGA-AJ-A3NH,0.13536333333333334
TCGA-AJ-A3OJ-01,0.02506,0.6071,0.09333,TCGA-AJ-A3OJ,0.24183
TCGA-AJ-A3OK-01,0.02374,0.101,0.09415,TCGA-AJ-A3OK,0.07296333333333334
TCGA-AJ-A3OL-01,0.02975,0.6079,0.09744,TCGA-AJ-A3OL,0.24503
TCGA-AJ-A3QS-01,0.0262,0.5779,0.1105,TCGA-AJ-A3QS,0.2382
TCGA-AJ-A3TW-01,0.02492,0.5372,0.08909,TCGA-AJ-A3TW,0.21707
TCGA-AJ-A5DV-01,0.03101,0.578,0.0743,TCGA-AJ-A5DV,0.22777
TCGA-AJ-A5DW-01,0.02003,0.441,0.05704,TCGA-AJ-A5DW,0.17269
TCGA-AJ-A6NU-01,0.01662,0.1712,0.05511,TCGA-AJ-A6NU,0.08097666666666666
TCGA-AJ-A8CT-01,0.06312,0.05046,0.04912,TCGA-AJ-A8CT,0.05423333333333333
TCGA-AJ-A8CV-01,0.04153,0.536,0.03623,TCGA-AJ-A8CV,0.20458666666666667
TCGA-AJ-A8CW-01,0.08189,0.7023,0.03116,TCGA-AJ-A8CW,0.2717833333333333
TCGA-AP-A059-01,0.03586,0.5147,0.05864,TCGA-AP-A059,0.2030666666666667
TCGA-AP-A05O-01,0.03181,0.4722,0.05656,TCGA-AP-A05O,0.18685666666666667
TCGA-AP-A0LF-01,0.04081,0.4661,0.07651,TCGA-AP-A0LF,0.1944733333333333
TCGA-AP-A0LM-01,0.03558,0.06595,0.06203,TCGA-AP-A0LM,0.05451999999999999
TCGA-AP-A0LS-01,0.03396,0.7505,0.1363,TCGA-AP-A0LS,0.30691999999999997
TCGA-AP-A1DH-01,0.02161,0.5431,0.0376,TCGA-AP-A1DH,0.20077
TCGA-AP-A1DK-01,0.02369,0.4966,0.04919,TCGA-AP-A1DK,0.18982666666666667
TCGA-AP-A1DM-01,0.01804,0.6283,0.0434,TCGA-AP-A1DM,0.2299133333333333
TCGA-AP-A1DO-01,0.02181,0.02055,0.04896,TCGA-AP-A1DO,0.030439999999999995
TCGA-AP-A1DP-01,0.01639,0.3329,0.05262,TCGA-AP-A1DP,0.13397
TCGA-AP-A1DQ-01,0.021,0.0839,0.04286,TCGA-AP-A1DQ,0.049253333333333336
TCGA-AP-A1DR-01,0.01793,0.7259,0.03287,TCGA-AP-A1DR,0.25889999999999996
TCGA-AP-A1DV-01,0.02493,0.1727,0.04193,TCGA-AP-A1DV,0.07985333333333333
TCGA-AP-A1E0-01,0.01962,0.6369,0.05351,TCGA-AP-A1E0,0.23667666666666665
TCGA-AP-A1E1-01,0.02912,0.7026,0.04441,TCGA-AP-A1E1,0.25871
TCGA-AP-A1E3-01,0.02047,0.4704,0.02993,TCGA-AP-A1E3,0.17359999999999998
TCGA-AP-A1E4-01,0.01776,0.07985,0.07403,TCGA-AP-A1E4,0.05721333333333334
TCGA-AP-A3K1-01,0.01874,0.7235,0.06502,TCGA-AP-A3K1,0.26908666666666664
TCGA-AP-A5FX-01,0.02618,0.1234,0.06255,TCGA-AP-A5FX,0.07071
TCGA-AW-A1PO-01,0.01422,0.8271,0.05107,TCGA-AW-A1PO,0.2974633333333333
TCGA-AX-A05Y-11,0.02457,0.2083,0.05901,TCGA-AX-A05Y,0.09729333333333334
TCGA-AX-A06H-01,0.03305,0.5576,0.07542,TCGA-AX-A06H,0.22202333333333335
TCGA-AX-A06L-01,0.02804,0.5053,0.07065,TCGA-AX-A06L,0.20132999999999998
TCGA-AX-A0IS-01,0.02551,0.4531,0.06042,TCGA-AX-A0IS,0.17967666666666668
TCGA-AX-A0IZ-01,0.04608,0.5,0.0774,TCGA-AX-A0IZ,0.2078266666666667
TCGA-AX-A0IZ-11,0.02241,0.08762,0.06107,TCGA-AX-A0IZ,0.05703333333333333
TCGA-AX-A0J0-01,0.01834,0.705,0.04501,TCGA-AX-A0J0,0.25611666666666666
TCGA-AX-A0J0-11,0.0289,0.1425,0.06642,TCGA-AX-A0J0,0.07927333333333333
TCGA-AX-A1C4-01,0.01994,0.7282,0.04379,TCGA-AX-A1C4,0.26397666666666664
TCGA-AX-A1C5-01,0.02007,0.5441,0.05272,TCGA-AX-A1C5,0.20563
TCGA-AX-A1C7-01,0.01993,0.838,0.03647,TCGA-AX-A1C7,0.2981333333333333
TCGA-AX-A1C8-01,0.0173,0.5645,0.0452,TCGA-AX-A1C8,0.209
TCGA-AX-A1C9-01,0.01957,0.6693,0.03565,TCGA-AX-A1C9,0.24150666666666665
TCGA-AX-A1CA-01,0.0179,0.6384,0.04417,TCGA-AX-A1CA,0.23349
TCGA-AX-A1CC-01,0.02757,0.3708,0.04961,TCGA-AX-A1CC,0.14932666666666666
TCGA-AX-A1CE-01,0.01457,0.6804,0.04105,TCGA-AX-A1CE,0.24534
TCGA-AX-A1CF-01,0.02075,0.5162,0.5747,TCGA-AX-A1CF,0.37055
TCGA-AX-A1CF-11,0.04732,0.1509,0.03836,TCGA-AX-A1CF,0.07886
TCGA-AX-A1CI-01,0.02096,0.4543,0.05839,TCGA-AX-A1CI,0.1778833333333333
TCGA-AX-A1CI-11,0.02827,0.087,0.05008,TCGA-AX-A1CI,0.05511666666666667
TCGA-AX-A1CJ-01,0.01899,0.07787,0.03844,TCGA-AX-A1CJ,0.0451
TCGA-AX-A1CJ-11,0.05692,0.03261,0.04915,TCGA-AX-A1CJ,0.046226666666666666
TCGA-AX-A1CK-01,0.02081,0.3288,0.05198,TCGA-AX-A1CK,0.13386333333333333
TCGA-AX-A1CK-11,0.04698,0.1055,0.05791,TCGA-AX-A1CK,0.07013000000000001
TCGA-AX-A1CN-01,0.02086,0.04287,0.03087,TCGA-AX-A1CN,0.03153333333333333
TCGA-AX-A2H2-01,0.03366,0.5084,0.0875,TCGA-AX-A2H2,0.20985333333333334
TCGA-AX-A2H4-01,0.02235,0.6406,0.09942,TCGA-AX-A2H4,0.2541233333333333
TCGA-AX-A2H4-11,0.02113,0.03603,0.1081,TCGA-AX-A2H4,0.05508666666666667
TCGA-AX-A2H5-01,0.04325,0.0505,0.1029,TCGA-AX-A2H5,0.06555
TCGA-AX-A2H5-11,0.05327,0.03585,0.09466,TCGA-AX-A2H5,0.06126
TCGA-AX-A2H7-01,0.02257,0.7305,0.09072,TCGA-AX-A2H7,0.28126333333333337
TCGA-AX-A2H7-11,0.02443,0.06497,0.1086,TCGA-AX-A2H7,0.066
TCGA-AX-A2HA-01,0.02904,0.6048,0.08899,TCGA-AX-A2HA,0.24094333333333331
TCGA-AX-A2HA-11,0.02514,0.07614,0.1141,TCGA-AX-A2HA,0.07179333333333333
TCGA-AX-A2HC-01,0.03916,0.816,0.1192,TCGA-AX-A2HC,0.3247866666666666
TCGA-AX-A2HC-11,0.05649,0.05066,0.1165,TCGA-AX-A2HC,0.07455
TCGA-AX-A2HD-01,0.04641,0.3653,0.08562,TCGA-AX-A2HD,0.16577666666666668
TCGA-AX-A2HD-11,0.07913,0.1194,0.1145,TCGA-AX-A2HD,0.10434333333333334
TCGA-AX-A2HG-01,0.03748,0.6706,0.08351,TCGA-AX-A2HG,0.2638633333333333
TCGA-AX-A2HH-01,0.03176,0.5482,0.09977,TCGA-AX-A2HH,0.22657666666666668
TCGA-AX-A2HJ-01,0.0325,0.6597,0.1105,TCGA-AX-A2HJ,0.2675666666666667
TCGA-AX-A2HK-01,0.03595,0.4734,0.1087,TCGA-AX-A2HK,0.20601666666666665
TCGA-AX-A2IN-01,0.02196,0.6424,0.1031,TCGA-AX-A2IN,0.25582
TCGA-AX-A2IO-01,0.01952,0.1133,0.08887,TCGA-AX-A2IO,0.07389666666666667
TCGA-AX-A3FS-01,0.02589,0.6302,0.08496,TCGA-AX-A3FS,0.24701666666666666
TCGA-AX-A3FT-01,0.02029,0.5235,0.09112,TCGA-AX-A3FT,0.21163666666666667
TCGA-AX-A3FV-01,0.02139,0.03345,0.08249,TCGA-AX-A3FV,0.04577666666666667
TCGA-AX-A3FW-01,0.03003,0.1316,0.07967,TCGA-AX-A3FW,0.08043333333333334
TCGA-AX-A3FX-01,0.02722,0.5224,0.08894,TCGA-AX-A3FX,0.21285333333333334
TCGA-AX-A3FZ-01,0.021,0.8182,0.07896,TCGA-AX-A3FZ,0.30605333333333334
TCGA-AX-A3G1-01,0.03838,0.1245,0.09101,TCGA-AX-A3G1,0.08463
TCGA-AX-A3G4-01,0.02358,0.1023,0.08237,TCGA-AX-A3G4,0.06941666666666667
TCGA-AX-A3G6-01,0.01978,0.6791,0.07938,TCGA-AX-A3G6,0.25942000000000004
TCGA-AX-A3G7-01,0.0234,0.2879,0.07621,TCGA-AX-A3G7,0.12916999999999998
TCGA-AX-A3G8-01,0.02327,0.7642,0.1,TCGA-AX-A3G8,0.2958233333333333
